Sample	UMAP1	UMAP2	condition
H_1975_1	1.47671710481328	-0.661828525927382	H_1975
H_1975_2	0.622703138461265	-1.40061242460065	H_1975
H_1975_3	1.44151171651983	-1.22219205027392	H_1975
NCI_3784Mel_1	-1.28774191097784	-0.634652591947484	NCI_3784Mel
NCI_3784Mel_2	-0.436682721693532	-0.0875415030374609	NCI_3784Mel
NCI_3784Mel_3	-0.805348645142359	-1.17080662428529	NCI_3784Mel
NCI_3784Mel_4	-0.730062396105535	-0.666853057664465	NCI_3784Mel
NCI_3784Mel_5	-1.06505457482876	-0.129084635036639	NCI_3784Mel
NCI_3795Mel_1	0.33447507432968	-0.957534393116974	NCI_3795Mel
NCI_3795Mel_2	-0.0905606513061246	-0.649324209193174	NCI_3795Mel
NCI_3795Mel_3	0.308009722922577	-0.378993460257831	NCI_3795Mel
NCI_3795Mel_4	-0.133492490684478	0.29754496447457	NCI_3795Mel
NCI_3795Mel_5	-0.209350992539377	-1.41550408117655	NCI_3795Mel
NCI_RA007_1	1.16388096050478	-0.120529894071443	NCI_RA007
NCI_RA007_2	1.40040236866979	0.110152464087898	NCI_RA007
NCI_RA007_3	0.762115205445342	0.99067485739206	NCI_RA007
NCI_RA007_4	0.833606808870407	1.2610136640002	NCI_RA007
NCI_RA007_5	0.377341888535826	0.609682988901756	NCI_RA007
PC9_epitope_1	-0.597198879386463	1.42119351218519	PC9_epitope
PC9_epitope_2	-0.866795505929973	1.85832101674961	PC9_epitope
PC9_epitope_4	-1.0956219545501	1.4534193629185	PC9_epitope
PC9_epitope_5	-1.40285326592822	1.49345461987947	PC9_epitope
