ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0030424	GO:0030424	axon	195/1237	394/7473	3.16423630721402e-55	1.53149037269159e-52	1.02920949360961e-52	MAPT/NCAM2/PRNP/ENO2/CNTN1/SYNJ1/SYT13/SPOCK1/SNCG/SNCA/SCN3A/SYT5/SLC8A1/TRIM46/SYT2/NEFL/RET/CD200/NTNG2/NTRK2/GPM6A/KIF21B/NEFM/BACE1/VIM/ALDH1A1/SEPTIN4/SLC1A2/MAP6/ALCAM/SYN1/STX1B/SLC18A3/MYO5A/GDPD5/KIRREL3/MAP3K12/SYT1/GPRIN1/PCDH9/L1CAM/TNFRSF21/TRPV2/CALB1/TUBB4A/CORO1A/MAP2/PRSS12/EPHB1/SNAP25/CNTNAP1/ATAT1/KIF21A/NRG1/NMNAT2/UNC13A/NRP1/TPGS1/SLC4A8/LRRC4B/CTNNA2/SIRT2/DPYSL3/DNM3/GAP43/NRCAM/ELAVL4/CADM2/CXADR/AMIGO1/RAC3/RAP1GAP/CRMP1/RUFY3/NEFH/UNC5C/SYP/SRCIN1/SYT4/PTPRS/ATCAY/STXBP1/SYT11/PRKCB/TANC2/BRSK1/PCLO/UCHL1/STX1A/PPFIA1/ROGDI/NFASC/ADGRL3/SH2D3C/ADGRL1/GRIK2/DIP2B/ATL1/SLC1A1/KIF3A/SHTN1/FLRT3/GDI1/TBC1D24/PALM/KCNQ2/BSN/GSK3B/CPEB4/CBARP/OLFM1/TUBB3/ARPC5/NDEL1/MADD/DLG4/SARM1/SLC5A7/KCNAB2/STMN2/KIF5A/EPB41L3/SBF2/ARL8A/DCC/KIF3B/ATP6V0D1/NF1/AAK1/EPHA5/CPT1C/CDK5/AP3B2/ADCY9/RAB3A/PPFIA2/RTN4RL2/EPHA4/NEO1/TAOK2/SEPTIN6/BASP1/PAFAH1B1/NDRG2/INPP5F/ATP2B3/BIN1/SLC8A2/PPP1R9B/KIF5C/SPTBN1/ROBO1/MAST1/UNC13B/NECAB2/ADCY8/PAK1/GSK3A/THY1/HCN1/ADAM22/GABBR1/PRKAA2/HDAC6/ACTBL2/CNTNAP2/PRKAA1/KLC1/KATNB1/P2RX3/ITGA3/INSR/LRFN3/ROBO2/MAP1B/GIT1/MAPK8IP1/ACTR10/HOMER1/TSC1/GRIPAP1/EXOC8/ABR/NECTIN1/ACTG1/VPS16/EXOC6/OPA1/ALS2/TPRG1L/AP3S1/BRSK2/ANK3/MAPK8IP3/DAB2IP	195	go_cc
GO:0036477	GO:0036477	somatodendritic compartment	187/1237	439/7473	8.1301392523893e-41	1.96749369907821e-38	1.32221738367805e-38	MAPT/NEGR1/PDE1C/ANKS1B/PRNP/SAMD14/ENO2/PDE9A/GABRA3/PDE4B/KCND3/DNER/SNCG/SNCA/CHRNA4/SYT5/CACNA1E/SLC8A1/SHANK1/RET/CD200/CTNND2/PRKAR2B/GRIP1/NTRK2/GPM6A/KIF21B/BACE1/TRIM9/NSG1/SEPTIN4/GRIA4/MAP6/ALCAM/SYN1/DPYSL5/KIRREL3/MAGI2/SV2A/NRSN2/L1CAM/CALB1/TUBB4A/MAP2/PRSS12/NSF/EPHB1/SNAP25/KIF21A/TPGS1/SLC4A8/NRXN1/SIRT2/GNAZ/DNM3/GAP43/ELAVL4/AMIGO1/RAC3/RAP1GAP/CRMP1/RUFY3/NDN/UNC5C/HIP1R/SRCIN1/SYT4/PTPRS/ATCAY/SYT11/TANC2/PRKACA/WASF1/CACNA1B/JAM2/UCHL1/PPFIA1/NSG2/GPHN/ROGDI/NFASC/ADGRB1/ASTN1/GRIK2/DIP2B/ABI3/BRINP1/SLC1A1/SHTN1/GDI1/NCDN/MARK4/ATP2B1/MARK1/PALM/SORBS2/BSN/CPEB3/ASAP1/GSK3B/ABI2/CPEB4/OLFM1/TUBB3/NDEL1/DLG4/LZTS3/SARM1/SLC5A7/STMN2/KIF5A/KIF3B/NF1/EPHA5/CPT1C/CDK5/ADCY9/NDFIP1/PPFIA2/RTN4RL2/EPHA4/TTBK1/TAOK2/TRIM3/CLSTN2/PMM1/PAFAH1B1/INPP5F/PPP3CA/SYNGAP1/EPHB3/BIN1/SLC8A2/PPP1R9B/KIF5C/MAST1/NLGN2/DMWD/KCNB2/SORCS2/NECAB2/ADCY8/FYN/VGF/PAK1/GSK3A/THY1/HCN1/SOS1/RGS12/GABBR1/ATP13A2/PRKAA2/HDAC6/ERO1A/CNTNAP2/DBNL/PRKAA1/KATNB1/ASTN2/P2RX3/INSR/LRFN3/ATP2B2/MAP1B/VPS35/MPP2/MAPK8IP1/ZDHHC5/HOMER1/SRR/CTTNBP2/GRIPAP1/RAC1/GOPC/ABR/NECTIN1/VPS16/FBXO2/OPA1/ALS2/MARK3/ANK3/MAPK8IP3/CRTC1/DAB2IP/DIP2A	187	go_cc
GO:0098793	GO:0098793	presynapse	139/1237	290/7473	4.8264056017058e-37	7.78660103741869e-35	5.23283975763892e-35	PTPRN2/SYN3/SV2B/PRNP/SYN2/SLC17A6/CNTN1/SEPTIN3/RIMS1/PDE4B/SYNJ1/RAB3C/SNCG/SNCA/SYT5/SLC8A1/SEPTIN5/SYT2/KCTD16/NEFL/TMEM163/SCAMP5/PPP3CC/NTNG2/NRXN2/GNB5/NTRK2/GPM6A/BACE1/TRIM9/SEPTIN4/SLC1A2/AMPH/SYN1/STX1B/SLC18A3/KIRREL3/SYT1/PPFIA3/SV2A/NLGN3/DNAJC6/STXBP5/DNM1/CALB1/PRSS12/SH3GL3/SNAP25/CNTNAP1/UNC13A/GUCY1B1/SLC4A8/LRRC4B/NRXN1/DOC2A/DNM3/IQSEC1/RIMS3/DMXL2/RIMS2/SYP/SRCIN1/SYT4/PTPRS/ATCAY/STXBP1/SYT11/PRKCB/STX12/BRSK1/PCLO/STX1A/ERC1/PPFIA1/ROGDI/EFNB3/PICK1/EFNB2/CDH10/ADGRL1/CHRNB2/GRIK2/SLC1A1/FLRT3/SYT7/TBC1D24/ATP2B1/BSN/CBARP/MFF/CADPS/NDEL1/PDE2A/DLG4/PCDH17/ATP6V0D1/NF1/AAK1/CADM3/SH3GL2/CDK5/RAB33B/YWHAG/CASK/SNAP91/STX7/RAB3A/SCAMP1/PPFIA2/RAB12/EPHA4/SEPTIN6/ATP2B3/BIN1/RAB6B/SLC8A2/PTPRD/NLGN2/DNAJC5/UNC13B/ADCY8/PIP5K1C/RAB5B/SNPH/GABBR1/RAB35/P2RX3/DNM1L/LRFN3/ATP2B2/SEMA4C/CLCN4/VPS35/GIT1/CTTNBP2/AP2M1/NECTIN1/ACTG1/TPRG1L	139	go_cc
GO:0030425	GO:0030425	dendrite	150/1237	337/7473	2.97283134831841e-35	2.87770074517222e-33	1.93390502448503e-33	MAPT/NEGR1/ANKS1B/PRNP/SAMD14/GABRA3/PDE4B/KCND3/DNER/CHRNA4/SLC8A1/SHANK1/RET/CTNND2/PRKAR2B/GRIP1/NTRK2/GPM6A/KIF21B/BACE1/TRIM9/NSG1/SEPTIN4/GRIA4/MAP6/ALCAM/SYN1/DPYSL5/KIRREL3/MAGI2/SV2A/L1CAM/CALB1/MAP2/PRSS12/NSF/EPHB1/KIF21A/TPGS1/SLC4A8/GNAZ/DNM3/GAP43/ELAVL4/AMIGO1/RAP1GAP/RUFY3/UNC5C/HIP1R/SRCIN1/SYT4/ATCAY/SYT11/TANC2/PRKACA/WASF1/PPFIA1/NSG2/GPHN/ROGDI/NFASC/ADGRB1/GRIK2/DIP2B/ABI3/BRINP1/SLC1A1/NCDN/MARK4/ATP2B1/MARK1/PALM/SORBS2/BSN/CPEB3/ASAP1/GSK3B/ABI2/CPEB4/TUBB3/DLG4/LZTS3/SARM1/SLC5A7/KIF5A/KIF3B/NF1/EPHA5/CPT1C/CDK5/ADCY9/NDFIP1/PPFIA2/RTN4RL2/EPHA4/TAOK2/TRIM3/CLSTN2/INPP5F/PPP3CA/SYNGAP1/EPHB3/BIN1/SLC8A2/PPP1R9B/KIF5C/MAST1/NLGN2/DMWD/KCNB2/SORCS2/NECAB2/ADCY8/FYN/PAK1/GSK3A/THY1/HCN1/RGS12/GABBR1/PRKAA2/HDAC6/ERO1A/CNTNAP2/DBNL/PRKAA1/P2RX3/INSR/LRFN3/ATP2B2/MAP1B/MPP2/MAPK8IP1/ZDHHC5/HOMER1/CTTNBP2/GRIPAP1/RAC1/GOPC/ABR/NECTIN1/FBXO2/OPA1/ALS2/MARK3/ANK3/MAPK8IP3/CRTC1/DAB2IP/DIP2A	150	go_cc
GO:0097447	GO:0097447	dendritic tree	150/1237	337/7473	2.97283134831841e-35	2.87770074517222e-33	1.93390502448503e-33	MAPT/NEGR1/ANKS1B/PRNP/SAMD14/GABRA3/PDE4B/KCND3/DNER/CHRNA4/SLC8A1/SHANK1/RET/CTNND2/PRKAR2B/GRIP1/NTRK2/GPM6A/KIF21B/BACE1/TRIM9/NSG1/SEPTIN4/GRIA4/MAP6/ALCAM/SYN1/DPYSL5/KIRREL3/MAGI2/SV2A/L1CAM/CALB1/MAP2/PRSS12/NSF/EPHB1/KIF21A/TPGS1/SLC4A8/GNAZ/DNM3/GAP43/ELAVL4/AMIGO1/RAP1GAP/RUFY3/UNC5C/HIP1R/SRCIN1/SYT4/ATCAY/SYT11/TANC2/PRKACA/WASF1/PPFIA1/NSG2/GPHN/ROGDI/NFASC/ADGRB1/GRIK2/DIP2B/ABI3/BRINP1/SLC1A1/NCDN/MARK4/ATP2B1/MARK1/PALM/SORBS2/BSN/CPEB3/ASAP1/GSK3B/ABI2/CPEB4/TUBB3/DLG4/LZTS3/SARM1/SLC5A7/KIF5A/KIF3B/NF1/EPHA5/CPT1C/CDK5/ADCY9/NDFIP1/PPFIA2/RTN4RL2/EPHA4/TAOK2/TRIM3/CLSTN2/INPP5F/PPP3CA/SYNGAP1/EPHB3/BIN1/SLC8A2/PPP1R9B/KIF5C/MAST1/NLGN2/DMWD/KCNB2/SORCS2/NECAB2/ADCY8/FYN/PAK1/GSK3A/THY1/HCN1/RGS12/GABBR1/PRKAA2/HDAC6/ERO1A/CNTNAP2/DBNL/PRKAA1/P2RX3/INSR/LRFN3/ATP2B2/MAP1B/MPP2/MAPK8IP1/ZDHHC5/HOMER1/CTTNBP2/GRIPAP1/RAC1/GOPC/ABR/NECTIN1/FBXO2/OPA1/ALS2/MARK3/ANK3/MAPK8IP3/CRTC1/DAB2IP/DIP2A	150	go_cc
GO:0098794	GO:0098794	postsynapse	151/1237	346/7473	2.86092807235465e-34	2.30781531169942e-32	1.55092416553962e-32	MAPT/ANKS1B/SYN3/PRNP/SYN2/SAMD14/CNTN1/GABRA3/PDE4B/KCND3/SPOCK1/SNCA/CHRNA4/DCLK1/SLC8A1/SHANK1/PAK3/KCTD16/NEFL/INA/CTNND2/PRKAR2B/GRIP1/NTRK2/GPM6A/NEFM/NSG1/GRIA4/CACNG8/SYN1/MAGI2/NLGN3/DNAJC6/ADCY1/CALB1/NSF/SH3GL3/SNAP25/DLGAP3/SYNE1/NRP1/LRRC4B/ANK2/DNM3/GAP43/IQSEC1/NRCAM/NEFH/HIP1R/SRCIN1/PTPRS/STXBP1/SYT11/WASF3/TANC2/PRKACA/WASF1/STX12/PCLO/STX1A/GPHN/EFNB3/PICK1/CAP2/EFNB2/SRC/CDH10/ADGRB1/ADGRL1/CHRNB2/GRIK2/ABI3/BMPR2/SLC1A1/FLRT3/PLEKHA5/NCDN/ATP2B1/PALM/BSN/CPEB3/ASAP1/GSK3B/ABI2/CPEB4/TPPP/DLG4/PCDH17/LZTS3/APC2/LRRTM4/PLCB1/DCC/F2R/KIF3B/RTN4/DLGAP1/INPP4A/CPT1C/CDK5/RAB3A/PPFIA2/EPHA4/CLSTN2/DLGAP4/PPP3CA/SYNGAP1/SLC8A2/PPP1R9B/SPTBN1/NLGN2/SORCS2/ADCY8/ADD2/FYN/GSK3A/ADAM22/SOS1/ADD1/GABBR1/DBNL/P2RX3/LRFN3/ATP2B2/SEMA4C/MAP1B/VPS35/ATAD1/GIT1/MPP2/HOMER1/CTTNBP2/TSC1/GRIPAP1/RAC1/AP2M1/PAK2/GOPC/ADGRB3/NETO2/ABR/ACTG1/FBXO2/ALS2/ACTR2/RAB4A/PCBP2/ANK3/PIN1/CRTC1/DIP2A	151	go_cc
GO:0098984	GO:0098984	neuron to neuron synapse	103/1237	216/7473	2.747745065849e-27	1.89986944552988e-25	1.27677176743961e-25	ANKS1B/SYN3/PRNP/SYN2/SAMD14/PDE4B/KCND3/SPOCK1/DCLK1/SLC8A1/SHANK1/PAK3/CTNND2/GRIP1/NTRK2/BACE1/CACNG8/SYN1/SYT1/MAGI2/NLGN3/DNAJC6/STXBP5/ADCY1/CALB1/NSF/SH3GL3/DLGAP3/SLC4A8/LRRC4B/DNM3/GAP43/IQSEC1/NRCAM/NEFH/HIP1R/SRCIN1/RAPGEF4/PTPRS/SYT11/PCLO/STX1A/GPHN/EFNB3/PICK1/CAP2/EFNB2/SRC/ADGRB1/ADGRL1/GRIK2/ABI3/BMPR2/SLC1A1/FLRT3/SYT7/PLEKHA5/ATP1B2/PALM/BSN/CPEB3/CPEB4/DLG4/LZTS3/DCC/RTN4/DLGAP1/INPP4A/CDK5/EPHA4/CLSTN2/SYNGAP1/SLC8A2/PTPRD/PPP1R9B/SPTBN1/NLGN2/SORCS2/ADCY8/ADD2/FYN/ADAM22/SOS1/ADD1/DBNL/P2RX3/LRFN3/ATP2B2/SEMA4C/MAP1B/VPS35/GIT1/MPP2/HOMER1/TSC1/PAK2/GOPC/NETO2/NECTIN1/ALS2/ACTR2/PCBP2/CRTC1	103	go_cc
GO:0031226	GO:0031226	intrinsic component of plasma membrane	152/1237	407/7473	1.55693789559742e-25	9.41947426836437e-24	6.33018170710002e-24	PLXNA4/PTPRN2/PLPPR1/PRNP/PLPPR2/PCDH7/CNTN1/PLPPR3/GABRA3/SYT13/KCND3/CHRNA4/SCN3A/DCLK1/SLC8A1/KCNH7/RET/XPR1/SIRPA/CD200/NTNG2/DPP6/NTRK2/GPM6A/BACE1/SLC1A2/GRIA4/KCNH2/ALCAM/CACNG8/ECEL1/PTPRT/REEP2/EPHA3/KIRREL3/SEMA4D/NLGN3/PCDH9/STXBP5/TNFRSF21/ADCY1/TRPV2/EPHB1/CNTNAP1/NRG1/NRP1/SLC22A17/ADGRL2/LRRC4B/HCN4/NRXN1/SCN3B/ADGRG1/PODXL2/PCDHA4/ACVR1B/NRCAM/CXADR/SLC25A14/PTPRS/SYT11/CNTFR/JAM2/STX1A/GPHN/EFNB3/NFASC/GPR50/ADGRL3/TENM4/ADCY6/EFNB2/CDH10/ADGRB1/ADGRL1/SEMA4G/CHRNB2/GRIK2/BMPR2/PCDHGB6/SLC1A1/ATP1B1/FLRT3/SYT7/SEMA7A/ATP1B2/ATP2B1/PALM/KCNQ2/ACVR2A/MPZ/DLG4/MDGA1/PCDH17/KCNAB2/DCC/F2R/PCDH10/DLG3/EPHA5/CADM3/CPT1C/ADCY9/PLXNA1/RTN4RL2/EPHA4/NEO1/CLSTN2/MPZL1/BTN2A1/EPHB3/ATP2B3/SLC8A2/MMP16/PTPRD/MET/ROBO1/NLGN2/CD47/KCNB2/SORCS2/ADCY8/THY1/PCDHB2/HCN1/ADAM22/GABBR1/SEMA6D/TSPAN18/CNTNAP2/PLXNA2/CDH4/ATRN/TM7SF2/P2RX3/ITGA3/ADCY3/INSR/LRFN3/ATP2B2/SEMA4C/CLCN4/SEMA3C/PLXNA3/GPC2/ALK/ADGRB3/NECTIN1/PTPRJ/GPC6/HS6ST1/SLC12A6	152	go_cc
GO:0150034	GO:0150034	distal axon	85/1237	167/7473	3.90477738653767e-25	2.09990250564915e-23	1.411200248468e-23	MAPT/PRNP/ENO2/SYNJ1/SNCG/SNCA/SLC8A1/NEFL/NTRK2/GPM6A/KIF21B/SLC18A3/MYO5A/GDPD5/MAP3K12/GPRIN1/PCDH9/L1CAM/TRPV2/CALB1/MAP2/PRSS12/SNAP25/UNC13A/SLC4A8/SIRT2/DPYSL3/GAP43/ELAVL4/CXADR/RAC3/CRMP1/RUFY3/UNC5C/SYP/PTPRS/ATCAY/PRKCB/BRSK1/ADGRL1/GRIK2/SLC1A1/SHTN1/FLRT3/TBC1D24/CPEB4/CBARP/OLFM1/TUBB3/ARPC5/NDEL1/STMN2/DCC/ATP6V0D1/AAK1/CDK5/RAB3A/EPHA4/NEO1/TAOK2/SEPTIN6/BASP1/PAFAH1B1/NDRG2/BIN1/SLC8A2/PPP1R9B/KIF5C/UNC13B/THY1/KLC1/KATNB1/P2RX3/ITGA3/MAP1B/GIT1/TSC1/EXOC8/NECTIN1/ACTG1/EXOC6/ALS2/TPRG1L/BRSK2/MAPK8IP3	85	go_cc
GO:0044297	GO:0044297	cell body	117/1237	278/7473	6.81372740514088e-25	3.29784406408819e-23	2.21625449283003e-23	MAPT/NEGR1/PDE1C/ENO2/PDE9A/KCND3/DNER/SNCG/SNCA/CHRNA4/SYT5/CACNA1E/SLC8A1/TMEM132E/RET/CD200/CTNND2/PRKAR2B/GRIP1/GPM6A/BACE1/PITPNM1/SEPTIN4/SLC1A2/GRIA4/ALCAM/DPYSL5/SV2A/NRSN2/L1CAM/TRPV2/CALB1/TUBB4A/MAP2/SLC4A8/NRXN1/SIRT2/GNAZ/DPYSL3/GAP43/ELAVL4/CXADR/AMIGO1/RAC3/RAP1GAP/CRMP1/RUFY3/NDN/UNC5C/HIP1R/SRCIN1/SYT4/PTPRS/SYT11/CACNA1B/UCHL1/ROGDI/ASTN1/GRIK2/DIP2B/BRINP1/SLC1A1/SHTN1/GDI1/NCDN/ATP1B2/ATP2B1/SORBS2/OLFM1/NDEL1/SLC5A7/STMN2/KIF5A/TUBB/EPHA5/CDK5/RTN4RL2/EPHA4/TTBK1/PMM1/PAFAH1B1/INPP5F/SLC8A2/PPP1R9B/KIF5C/MAST1/DMWD/KCNB2/SORCS2/ADCY8/FYN/VGF/GSK3A/THY1/SOS1/GABBR1/ATP13A2/PRKAA2/HDAC6/CNTNAP2/DBNL/PRKAA1/KATNB1/ASTN2/P2RX3/INSR/ATP2B2/MAP1B/VPS35/MAPK8IP1/HOMER1/SRR/VPS16/ALS2/MAPK8IP3/CRTC1/DAB2IP	117	go_cc
