ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0000785	GO:0000785	chromatin	234/1867	473/7482	9.92661781379735e-33	5.58868582916791e-30	4.68118397955917e-30	SIN3A/RFX5/SMARCE1/SF3B1/SMARCA5/ACTR5/MTA1/PSIP1/KAT6B/BICRA/CBX3/CREB1/H1-2/SUZ12/PPP4R2/CHD8/PBRM1/BCL7B/BICRAL/EXOSC4/HNRNPC/MEAF6/MAU2/CFDP1/MAGED1/AHCTF1/EIF3E/CHD6/ACTR8/MCRS1/KDM1A/EBF2/DEK/TRIM24/TELO2/UHRF2/PAF1/DPF2/LRWD1/SMARCD1/BRD9/RPA2/NIPBL/PHF10/BRD8/RCC1/YY1/UBR2/BRD4/MBD3/SRPK1/BRMS1L/MTA2/TFPT/PPP1R10/CHD4/INO80/PDS5A/TSPYL5/SHPRH/RB1/ING3/TOX4/RCOR2/OBI1/SMC3/RRP1B/SETD5/HMGB2/SMARCA1/ORC3/ACTL6A/SUPT16H/SSRP1/MPHOSPH8/WDR43/IPO4/SUPT6H/ARID2/POU3F2/ASF1A/ZBTB46/NFRKB/EXOSC10/TTI1/TTI2/RSF1/SIRT1/CENPC/SMCR8/INO80C/MRGBP/POU2F1/ING2/BCL7C/INO80E/USF2/USP3/KDM3B/BBX/SUDS3/MBTD1/CBX1/CTR9/SP2/BPTF/H1-3/TAF4/BRD2/GATAD2A/UXT/SMARCD2/WAPL/TSPYL1/NCOR2/ANP32E/CREBBP/TCF3/THAP11/NFYB/EHMT2/RBBP4/RAD21/BAZ2A/ELK1/TBP/IRF3/NAP1L1/CHMP2A/MSH6/EXOSC3/PBX2/TMPO/NSD1/VPS72/ORC2/RBBP7/CHD7/BAZ1A/ELF2/GMEB2/TASOR/ZNF580/NEDD4/MYBBP1A/DNMT1/CHD1/MGA/NR2C1/ZBED1/TAF1/ORC5/ZHX2/KDM3A/NFATC4/EZH2/SINHCAF/HMGN5/NUFIP1/PBXIP1/HDAC1/STAT3/MORF4L1/RBPJ/DDX21/HMGA1/STAG2/ICE2/STAT2/HMGN4/GABPA/NCAPD3/BEND3/ETV3/POLE3/CHAF1B/CBX2/CECR2/CHAF1A/STAT1/SMARCC1/SRF/TCF12/SMC2/ZBTB34/AEBP2/UHRF1/DNMT3A/MTA3/ADNP2/PCNA/NOP53/KIF22/ARNT/SALL1/MEF2D/FOXO4/ZBTB33/TSPYL2/BRMS1/TCF4/NFATC3/TIMELESS/RIF1/MCM7/SIX4/DSCC1/KLF3/POLA1/TEAD1/FOXJ3/HAT1/XRCC1/HELLS/RFX7/NASP/HMGN1/RAD51AP1/MCM2/CDK4/SALL4/TAF5/PLK1/KLF16/CHEK1/E2F4/TRIM56/SREBF1/ATF6B/LOXL2/ZC3H8/OIP5/CDCA5/ASF1B	234	go_cc
GO:0000228	GO:0000228	nuclear chromosome	87/1867	131/7482	7.22835339981149e-24	1.70691490400861e-21	1.42974268859654e-21	SIN3A/SMARCE1/SMARCA5/ACTR5/PBRM1/CFDP1/ACTR8/MCRS1/TRIM24/LRWD1/RPA2/BRD8/TOP1/RCC1/YY1/BRD4/BRMS1L/TFPT/INO80/ING3/EXOSC9/SMC3/SMC1A/ORC3/ACTL6A/SETX/NFRKB/INO80C/ING2/ORC4/INO80E/SUDS3/LRIF1/NOL6/HUS1/WAPL/ANP32E/RRS1/IK/PINX1/SMARCAL1/RBBP4/RAD21/BRCA2/RPA3/NIFK/ORC2/RPA1/BAZ1A/CHD1/ORC1/ORC5/SINHCAF/NUFIP1/HDAC1/MORF4L1/STAG2/TONSL/POLD3/GINS1/POLE3/POLD1/SMC2/HSPA2/POLD2/PCNA/TOPBP1/BRMS1/POLE/BLM/NCAPD2/TIMELESS/MCM7/MCM3/POLA1/MCM4/WDHD1/MCM5/TOP2A/HNRNPU/MCM2/PLK1/CHEK1/POLA2/PRIM1/MCM6/PRIM2	87	go_cc
GO:0030684	GO:0030684	preribosome	58/1867	71/7482	9.09546130022352e-24	1.70691490400861e-21	1.42974268859654e-21	FBL/FCF1/NOP9/UTP11/RIOK1/RSL1D1/RRP1B/IMP3/MRTO4/RRP1/BMS1/IMP4/BOP1/NOL6/MAK16/NOC4L/EMG1/WDR36/TBL3/WDR12/RRS1/NSA2/UTP23/HEATR1/UTP4/PDCD11/UTP20/EBNA1BP2/NOC2L/DCAF13/NOL10/RPF1/PES1/MDN1/UTP6/NIP7/RRP15/WDR46/MPHOSPH10/RRP9/FTSJ3/BYSL/RIOK2/SRFBP1/TSR1/WDR74/UTP14A/WDR3/RRP7A/NOP14/KRI1/LTV1/NGDN/UTP18/NOB1/ZNF622/PPAN/UTP3	58	go_cc
GO:0098687	GO:0098687	chromosomal region	137/1867	259/7482	9.46886142047704e-23	1.33274224493214e-20	1.1163289253615e-20	SIN3A/NUP98/MRE11/NUP133/THOC2/CBX3/TFIP11/KAT7/MEAF6/THOC1/SMC6/CFDP1/SEH1L/AHCTF1/KDM1A/NUP43/TELO2/UHRF2/TPR/RANGAP1/LRWD1/RPA2/CTCF/MTA2/PPP1R10/CHD4/ZW10/PHF6/PDS5A/TOX4/SMC3/SMC1A/PPP1R12A/SMC5/ZBTB10/NUP107/ORC3/ALYREF/THOC3/SETX/FBXO28/CENPC/THOC6/NUP37/ORC4/PARP1/LRIF1/CBX1/CDC73/KANSL1/SIRT6/NHP2/WAPL/THOC7/KAT8/PINX1/SPDL1/RBBP4/RAD21/BRCA2/NAT10/ATM/CHMP2A/PPP2R5A/ORC2/RBBP7/RPA1/DNMT1/FEN1/ORC1/CTC1/ERCC6L/ORC5/EZH2/ATR/MSH2/WRAP53/STAG2/NSL1/NCAPD3/RCC2/CCNB1/DSN1/NGDN/SPOUT1/ZNF330/POLD1/SMC4/DNMT3A/SGO2/PURA/CDK2/PCNA/CENPE/TTK/KIF22/CDCA8/CENPP/BUB1B/BLM/CENPU/WRN/CHEK2/AURKB/NCAPD2/RIF1/SPC24/CENPH/CENPO/MCM7/DSCC1/MIS18BP1/MCM3/HAT1/XRCC1/ZWILCH/HELLS/NUF2/MCM4/CDK1/MAD2L1/MCM5/TOP2A/KIF2C/HNRNPU/RAD51AP1/MCM2/NCAPG/PLK1/CHEK1/MCM6/NDC80/XRCC3/OIP5/CDCA5/CENPM/KNSTRN	137	go_cc
GO:0030686	GO:0030686	90S preribosome	24/1867	24/7482	3.03810561934283e-15	3.42090692738002e-13	2.86541329992755e-13	NOP9/RSL1D1/IMP3/BMS1/IMP4/BOP1/NOL6/NOC4L/WDR36/TBL3/WDR12/HEATR1/UTP4/UTP20/NOC2L/PES1/UTP6/MPHOSPH10/SRFBP1/WDR3/RRP7A/NOP14/KRI1/UTP18	24	go_cc
GO:0000781	GO:0000781	chromosome, telomeric region	65/1867	112/7482	6.63643901804971e-14	6.22719194526998e-12	5.21600821067767e-12	MRE11/THOC2/CBX3/TFIP11/THOC1/SMC6/KDM1A/TELO2/LRWD1/RPA2/MTA2/PPP1R10/CHD4/TOX4/SMC5/ZBTB10/ORC3/ALYREF/THOC3/SETX/THOC6/ORC4/PARP1/LRIF1/CBX1/CDC73/SIRT6/NHP2/THOC7/PINX1/RBBP4/BRCA2/NAT10/ATM/ORC2/RBBP7/RPA1/FEN1/ORC1/CTC1/ORC5/EZH2/ATR/MSH2/WRAP53/POLD1/PURA/CDK2/PCNA/BLM/WRN/CHEK2/RIF1/MCM7/MCM3/HAT1/XRCC1/MCM4/CDK1/MCM5/RAD51AP1/MCM2/CHEK1/MCM6/XRCC3	65	go_cc
GO:0070603	GO:0070603	SWI/SNF superfamily-type complex	48/1867	73/7482	1.79528858347365e-13	1.44392496070809e-11	1.20945757202435e-11	SMARCE1/SF3B1/SMARCA5/ACTR5/MTA1/BICRA/PBRM1/BCL7B/BICRAL/CFDP1/ACTR8/MCRS1/DEK/DPF2/SMARCD1/BRD9/PHF10/BRD8/YY1/MBD3/MTA2/TFPT/CHD4/INO80/RB1/ING3/SMARCA1/ACTL6A/ARID2/NFRKB/RSF1/INO80C/BCL7C/INO80E/BPTF/GATAD2A/SMARCD2/ANP32E/RBBP4/RBBP7/BAZ1A/MYBBP1A/HDAC1/DDX21/POLE3/CECR2/SMARCC1/MTA3	48	go_cc
GO:1904949	GO:1904949	ATPase complex	48/1867	75/7482	8.20798638003688e-13	5.77637041495096e-11	4.83839197139016e-11	SMARCE1/SF3B1/SMARCA5/ACTR5/MTA1/BICRA/PBRM1/BCL7B/BICRAL/CFDP1/ACTR8/MCRS1/DEK/DPF2/SMARCD1/BRD9/PHF10/BRD8/YY1/MBD3/MTA2/TFPT/CHD4/INO80/RB1/ING3/SMARCA1/ACTL6A/ARID2/NFRKB/RSF1/INO80C/BCL7C/INO80E/BPTF/GATAD2A/SMARCD2/ANP32E/RBBP4/RBBP7/BAZ1A/MYBBP1A/HDAC1/DDX21/POLE3/CECR2/SMARCC1/MTA3	48	go_cc
GO:0000775	GO:0000775	chromosome, centromeric region	80/1867	160/7482	4.75848020140541e-12	2.97669372599028e-10	2.49333231605804e-10	SIN3A/NUP98/NUP133/CBX3/KAT7/MEAF6/SMC6/CFDP1/SEH1L/AHCTF1/NUP43/UHRF2/TPR/RANGAP1/LRWD1/CTCF/ZW10/PHF6/PDS5A/SMC3/SMC1A/PPP1R12A/SMC5/NUP107/FBXO28/CENPC/NUP37/CBX1/KANSL1/WAPL/KAT8/PINX1/SPDL1/RAD21/CHMP2A/PPP2R5A/ORC2/DNMT1/ERCC6L/EZH2/STAG2/NSL1/NCAPD3/RCC2/CCNB1/DSN1/NGDN/SPOUT1/ZNF330/SMC4/DNMT3A/SGO2/CENPE/TTK/KIF22/CDCA8/CENPP/BUB1B/CENPU/AURKB/NCAPD2/SPC24/CENPH/CENPO/DSCC1/MIS18BP1/ZWILCH/HELLS/NUF2/MAD2L1/TOP2A/KIF2C/HNRNPU/NCAPG/PLK1/NDC80/OIP5/CDCA5/CENPM/KNSTRN	80	go_cc
GO:0000793	GO:0000793	condensed chromosome	82/1867	168/7482	1.29005078189217e-11	7.26298590205289e-10	6.08360789776516e-10	SIN3A/NUP98/SMARCA5/NUP133/CBX3/MEAF6/SMC6/CFDP1/SEH1L/AHCTF1/NUP43/TPR/RANGAP1/LRWD1/RCC1/BRD4/CTCF/ZW10/PHF6/SMC3/SMC1A/HMGB2/PPP1R12A/SMC5/NUP107/NSMCE4A/FBXO28/CENPC/NUP37/NOL6/KANSL1/HUS1/WAPL/KAT8/RRS1/PINX1/SPDL1/RAD21/BRCA2/CHMP2A/NIFK/ORC2/NSMCE3/NSMCE1/ERCC6L/STAG2/NSL1/NCAPD3/CCNB1/DSN1/SPOUT1/MKI67/SMC2/SGO2/HSPA2/CDK2/CENPE/TTK/TOPBP1/KIF22/BUB1B/BLM/CENPU/AURKB/NCAPD2/RIF1/SPC24/CENPH/CENPO/FANCD2/ZWILCH/NUF2/MAD2L1/TOP2A/KIF2C/HNRNPU/NCAPG/PLK1/CHEK1/NDC80/CENPM/KNSTRN	82	go_cc
