ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0030684	GO:0030684	preribosome	58/1460	72/7531	3.21809688271471e-29	1.76029899484495e-26	1.59888603014878e-26	FCF1/NOP9/MRTO4/RRP9/RIOK1/RRP1B/UTP11/RRP1/RSL1D1/MAK16/NSA2/RRS1/EMG1/NOL6/WDR12/TBL3/RPF1/EBNA1BP2/UTP23/WDR36/NOC4L/IMP3/NOC2L/UTP4/NOL10/BMS1/PDCD11/IMP4/PES1/BOP1/KRI1/HEATR1/UTP20/DCAF13/RRP15/FTSJ3/WDR46/RIOK2/WDR3/UTP6/MDN1/TSR1/MPHOSPH10/NGDN/WDR74/RRP7A/UTP14A/BYSL/NIP7/LTV1/UTP18/ZNF622/SRFBP1/NOP14/UTP3/NOB1/RRP36/PPAN	58	go_cc
GO:0000785	GO:0000785	chromatin	178/1460	484/7531	1.5211903413625e-20	4.16045558362644e-18	3.77895705854264e-18	SUZ12/DEK/TCF3/CENPC/PDS5A/BRD8/SMC3/RB1/KDM3B/EXOSC4/SHPRH/HSF1/EXOSC10/NFKB1/SUPT6H/RSF1/INO80/INO80E/MPHOSPH8/ARID2/TSPYL5/TTI2/CBX1/RRP1B/UHRF2/SUDS3/SMARCA1/EZH2/THAP11/BICRAL/MBTD1/NFRKB/TAF4/MRGBP/ASF1A/ORC3/ANP32E/RPA2/SRPK1/CUX1/TTI1/NFYB/VPS72/H1-3/SSRP1/CREBBP/GATAD2A/RBBP4/ZBED1/BPTF/ING3/BRD2/WAPL/BAZ2A/NCOR2/SUPT16H/KDM3A/INO80C/WDR43/NEDD4/TSPYL1/TASOR/CTR9/SP3/CHD7/STAT5B/NR2C1/IPO4/RAD21/ORC2/KLF13/NCOA3/TMPO/BBX/CECR2/IRF3/EHMT2/NAP1L1/NFKB2/RBPJ/TBP/EXOSC3/CHD1/ETV3/BRD9/UXT/PBX2/RBBP7/NSD1/BAZ1A/DNMT1/SINHCAF/ZBTB34/PBXIP1/ELF2/MGA/GABPA/MYBBP1A/ORC5/FOXN3/MSH6/HMGA1/STAG2/XRCC1/KLF3/ZHX2/MORF4L1/TAF1/HMGN5/ICE2/TCF12/ARNT/E2F4/POLE3/RFX7/DDX21/SMARCC1/CBX2/NCAPD3/ING2/JMJD1C/STAT3/TCF4/SIX4/STAT2/NFATC4/ZBTB33/BEND3/HDAC1/DNMT3A/CHAF1A/SMC2/TAF5/NOP53/TEAD1/FOXJ2/RAD51AP1/ATF6B/PCNA/STAT1/KLF16/FOXJ3/MTA3/BRMS1/ZC3H8/ADNP2/UHRF1/DSCC1/LOXL2/SALL1/OIP5/HMGN4/FAM111B/CDK4/KIF22/HAT1/E2F8/RIF1/SRF/POLA1/MCM7/NASP/TIMELESS/HELLS/SALL4/CREBZF/MCM2/SOX12/PLK1/FANCL/SUV39H1/ESCO2/TGM2/NFYC/CHRAC1/ESRRA/ASF1B/RAD51	178	go_cc
GO:0030686	GO:0030686	90S preribosome	25/1460	25/7531	1.30341369635931e-18	2.37655763969515e-16	2.15863601642665e-16	NOP9/RSL1D1/NOL6/WDR12/TBL3/WDR36/NOC4L/IMP3/NOC2L/UTP4/BMS1/IMP4/PES1/BOP1/KRI1/HEATR1/UTP20/WDR3/UTP6/MPHOSPH10/RRP7A/UTP18/SRFBP1/NOP14/RRP36	25	go_cc
GO:0000228	GO:0000228	nuclear chromosome	71/1460	135/7531	3.52400476828239e-18	4.81907652062617e-16	4.37718487007708e-16	BRD8/SMC3/MLH1/INO80/INO80E/SMC1A/IK/SETX/SUDS3/NFRKB/ORC3/ANP32E/ORC1/RPA2/RBBP4/ING3/SMARCAL1/WAPL/LRIF1/ADD3/INO80C/RRS1/ORC4/RAD21/ORC2/NOL6/BRCA2/CHD1/RPA1/BAZ1A/NIFK/SINHCAF/ORC5/STAG2/RPA3/PINX1/MORF4L1/TONSL/BLM/POLE3/ING2/POLD3/HDAC1/HSPA2/ORC6/SMC2/POLD1/PCNA/BRMS1/HNRNPU/TOPBP1/POLD2/NCAPD2/POLA1/MCM7/MCM3/PRIM2/POLA2/TIMELESS/WDHD1/MCM4/MCM5/TOP2A/GINS1/MCM2/PLK1/MCM6/SUV39H1/PRIM1/CHRAC1/RAD51	71	go_cc
GO:0098687	GO:0098687	chromosomal region	105/1460	260/7531	1.45847283879077e-15	1.5955692856371e-13	1.44926143138788e-13	CTCF/SEH1L/NUP43/CENPC/PDS5A/RANGAP1/SMC3/THOC1/HSF1/ZBTB48/SMC1A/CBX1/SETX/UHRF2/EZH2/NUP37/SMC5/ORC3/ATM/KANSL1/THOC3/ORC1/RPA2/FBXO28/ZW10/THOC7/NUP107/PARP1/RBBP4/WAPL/LRIF1/NHP2/THOC6/NSL1/CDC73/ORC4/RAD21/ORC2/FEN1/NAT10/BRCA2/RPA1/RBBP7/WRAP53/DNMT1/ORC5/STAG2/XRCC1/PINX1/DSN1/DOT1L/RCC2/ATR/SPDL1/NGDN/BLM/NCAPD3/MSH2/ERCC6L/PSEN2/SPOUT1/DNMT3A/CDK2/WRN/RAD51AP1/POLD1/PCNA/SMC4/DSCC1/HNRNPU/OIP5/CHEK2/BUB1B/ZWILCH/NCAPD2/RECQL4/KIF22/SPC24/HAT1/CENPU/XRCC3/CDCA8/RIF1/MCM7/NCAPG/MCM3/AURKB/CCNB1/ITGB3BP/MAD2L1/HELLS/KIF2C/CDK1/MCM4/MCM5/TOP2A/MCM2/PLK1/MCM6/SUV39H1/ESCO2/SGO1/SPC25/NDC80/RAD51	105	go_cc
GO:0032040	GO:0032040	small-subunit processome	26/1460	35/7531	2.82677443242706e-12	2.57707602422934e-10	2.34076760018522e-10	FCF1/RRP9/UTP11/EMG1/NOL6/TBL3/UTP23/WDR36/NOC4L/IMP3/UTP4/NOL10/PDCD11/IMP4/HEATR1/UTP20/DCAF13/WDR46/WDR3/UTP6/MPHOSPH10/NGDN/UTP14A/UTP18/NOP14/UTP3	26	go_cc
GO:0005657	GO:0005657	replication fork	28/1460	43/7531	6.51591173739837e-11	5.09171960050987e-09	4.62482757902561e-09	RTF2/RPA2/SMARCAL1/RFC5/RFC2/RPA1/DNMT1/RFC3/RFC4/RPA3/TONSL/BLM/POLD3/RFC1/WRN/POLD1/PCNA/RAD18/UHRF1/POLD2/XRCC3/POLA1/MCM3/PRIM2/POLA2/TIMELESS/WDHD1/PRIM1	28	go_cc
GO:0030687	GO:0030687	preribosome, large subunit precursor	19/1460	23/7531	1.04531995849612e-10	7.14737521621724e-09	6.49198711066013e-09	MRTO4/RRP1B/RRP1/MAK16/NSA2/RRS1/WDR12/RPF1/EBNA1BP2/NOC2L/PES1/BOP1/RRP15/FTSJ3/MDN1/WDR74/NIP7/ZNF622/PPAN	19	go_cc
GO:0000781	GO:0000781	chromosome, telomeric region	51/1460	113/7531	3.2155587400011e-10	1.95434514531178e-08	1.77513885997721e-08	THOC1/ZBTB48/CBX1/SETX/EZH2/SMC5/ORC3/ATM/THOC3/ORC1/RPA2/THOC7/PARP1/RBBP4/LRIF1/NHP2/THOC6/CDC73/ORC4/ORC2/FEN1/NAT10/BRCA2/RPA1/RBBP7/WRAP53/ORC5/XRCC1/PINX1/DOT1L/ATR/BLM/MSH2/CDK2/WRN/RAD51AP1/POLD1/PCNA/CHEK2/RECQL4/HAT1/XRCC3/RIF1/MCM7/MCM3/CDK1/MCM4/MCM5/MCM2/MCM6/RAD51	51	go_cc
GO:0030894	GO:0030894	replisome	12/1460	12/7531	2.71722909602372e-09	1.48632431552498e-07	1.35003382455073e-07	RPA2/RPA1/RPA3/POLD3/POLD1/PCNA/POLD2/POLA1/MCM3/PRIM2/POLA2/PRIM1	12	go_cc
GO:0030688	GO:0030688	preribosome, small subunit precursor	13/1460	14/7531	6.01661461654649e-09	2.99189835931903e-07	2.7175522478564e-07	NOP9/RIOK1/RRP1B/RRP1/NOC4L/UTP20/FTSJ3/RIOK2/TSR1/BYSL/LTV1/NOP14/NOB1	13	go_cc
GO:0043601	GO:0043601	nuclear replisome	11/1460	11/7531	1.41018376826076e-08	6.42808767698863e-07	5.83865560192175e-07	RPA2/RPA1/RPA3/POLD3/POLD1/POLD2/POLA1/MCM3/PRIM2/POLA2/PRIM1	11	go_cc
GO:0043596	GO:0043596	nuclear replication fork	16/1460	22/7531	8.41531596371473e-08	3.54090602473227e-06	3.21621792297437e-06	RPA2/SMARCAL1/RPA1/RPA3/TONSL/POLD3/POLD1/PCNA/POLD2/POLA1/MCM3/PRIM2/POLA2/TIMELESS/WDHD1/PRIM1	16	go_cc
GO:0000793	GO:0000793	condensed chromosome	62/1460	171/7531	1.35330817904902e-07	5.033640471647e-06	4.57207409336551e-06	CTCF/SEH1L/NUP43/CENPC/RANGAP1/SMC3/MLH1/HSF1/SMC1A/NUP37/SMC5/KANSL1/FBXO28/NSMCE4A/ZW10/NUP107/WAPL/ADD3/NSL1/RRS1/RAD21/ORC2/NOL6/BRCA2/NIFK/STAG2/PINX1/DSN1/SPDL1/BLM/NCAPD3/ERCC6L/PSEN2/SPOUT1/NSMCE3/HSPA2/CDK2/SMC2/MKI67/HNRNPU/TOPBP1/BUB1B/ZWILCH/NCAPD2/KIF22/SPC24/CENPU/RIF1/FANCD2/NCAPG/AURKB/CCNB1/ITGB3BP/MAD2L1/KIF2C/TOP2A/PLK1/SUV39H1/SGO1/SPC25/NDC80/RAD51	62	go_cc
GO:0000775	GO:0000775	chromosome, centromeric region	59/1460	160/7531	1.38034016589954e-07	5.033640471647e-06	4.57207409336551e-06	CTCF/SEH1L/NUP43/CENPC/PDS5A/RANGAP1/SMC3/HSF1/SMC1A/CBX1/UHRF2/EZH2/NUP37/SMC5/KANSL1/FBXO28/ZW10/NUP107/WAPL/NSL1/RAD21/ORC2/DNMT1/STAG2/PINX1/DSN1/RCC2/SPDL1/NGDN/NCAPD3/ERCC6L/PSEN2/SPOUT1/DNMT3A/SMC4/DSCC1/HNRNPU/OIP5/BUB1B/ZWILCH/NCAPD2/KIF22/SPC24/CENPU/CDCA8/NCAPG/AURKB/CCNB1/ITGB3BP/MAD2L1/HELLS/KIF2C/TOP2A/PLK1/SUV39H1/ESCO2/SGO1/SPC25/NDC80	59	go_cc
GO:0032993	GO:0032993	protein-DNA complex	38/1460	87/7531	1.70211870595392e-07	5.81911832597996e-06	5.28552650796217e-06	SUZ12/BRD8/SHPRH/MPHOSPH8/MBTD1/MRGBP/ORC3/RPA2/NFYB/VPS72/H1-3/PARP1/ING3/SP3/TBP/RPA1/RPA3/MORF4L1/GTF2E1/POLD3/EP300/POLD1/ATF6B/PCNA/POLD2/POLA1/MCM7/MCM3/PRIM2/POLA2/MCM4/MCM5/GINS1/MCM2/SOX12/MCM6/PRIM1/NFYC	38	go_cc
GO:0000792	GO:0000792	heterochromatin	25/1460	54/7531	6.21314266432668e-06	0.000199917002199217	0.000181585345979083	SUZ12/CENPC/HSF1/MPHOSPH8/CBX1/RRP1B/UHRF2/EZH2/BAZ2A/TASOR/ORC2/DNMT1/HMGA1/CBX2/NCAPD3/BEND3/HDAC1/DNMT3A/NOP53/UHRF1/SALL1/HELLS/SALL4/SUV39H1/ESCO2	25	go_cc
GO:0005667	GO:0005667	transcription regulator complex	71/1460	231/7531	1.8946352976668e-05	0.000575758615457633	0.000522963661110368	MED4/TCF3/EYA3/TAF3/RB1/MED14/GLI3/GEMIN5/ATF7IP/DDX20/MED1/TAF4/IVNS1ABP/AATF/NFYB/PARP1/CREBBP/GATAD2A/RBBP4/CDK7/NCOR2/MIER1/SP3/MED26/MNAT1/LMO4/TAF10/RBPJ/TBP/ETV3/PBX2/RBBP7/MIDEAS/PBXIP1/HMGA1/LIN9/CEBPZ/RCOR1/TAF6/TAF1/TCF12/ARNT/GTF2E1/E2F4/CCNH/GTF2E2/ING2/SKI/STAT3/TCF4/SIX4/STAT2/NFATC4/HDAC1/EP300/CDK2/TAF5/TEAD1/ATF6B/RIOX2/STAT1/MTA3/HYAL2/LIMD1/CDK4/E2F8/PDLIM1/CREBZF/GPS2/N4BP2L2/NFYC	71	go_cc
GO:0032039	GO:0032039	integrator complex	11/1460	16/7531	2.33808752717086e-05	0.000673123093348665	0.000611400173310054	INTS2/INTS1/INTS13/INTS7/INTS8/INTS3/INTS6/INTS11/INTS9/INTS12/INTS6L	11	go_cc
GO:0000307	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	14/1460	24/7531	2.75515434745431e-05	0.000753534714028754	0.000684438343157071	CCNT2/CDK7/CDK13/MNAT1/CCNL2/BCCIP/CCNH/CDK2/CDK6/PCNA/CDK4/CCNB2/CCNB1/CDK1	14	go_cc
GO:0000794	GO:0000794	condensed nuclear chromosome	17/1460	33/7531	3.45512132017624e-05	0.000899976839112574	0.000817452262217136	SMC3/MLH1/SMC1A/WAPL/ADD3/RRS1/RAD21/NOL6/BRCA2/NIFK/STAG2/BLM/HSPA2/TOPBP1/PLK1/SUV39H1/RAD51	17	go_cc
GO:0055029	GO:0055029	nuclear DNA-directed RNA polymerase complex	29/1460	73/7531	4.37556660887646e-05	0.00108792497047974	0.000988166238942435	POLR1B/TAF3/POLR1A/TAF4/POLR3B/POLR2G/CDK7/POLR2E/CTR9/CDC73/MNAT1/TAF10/TBP/POLR3C/POLR3D/TAF6/TAF1/GTF2E1/RECQL5/CCNH/GTF2E2/RPAP2/TAF5/POLA1/MCM3/PRIM2/POLA2/POLR1D/PRIM1	29	go_cc
GO:0031010	GO:0031010	ISWI-type complex	9/1460	12/7531	4.71389826756864e-05	0.00112108797928698	0.00101828832141528	RSF1/SMARCA1/RBBP4/BPTF/CECR2/RBBP7/BAZ1A/POLE3/CHRAC1	9	go_cc
GO:0000428	GO:0000428	DNA-directed RNA polymerase complex	29/1460	74/7531	5.88191484432775e-05	0.00134058642493637	0.00121765956426434	POLR1B/TAF3/POLR1A/TAF4/POLR3B/POLR2G/CDK7/POLR2E/CTR9/CDC73/MNAT1/TAF10/TBP/POLR3C/POLR3D/TAF6/TAF1/GTF2E1/RECQL5/CCNH/GTF2E2/RPAP2/TAF5/POLA1/MCM3/PRIM2/POLA2/POLR1D/PRIM1	29	go_cc
